latitude,longitude
37.35944,-119.6436
38.93333,-119.9833
38.9575,-120.0914
40.80222,-124.1625
38.28085,-119.836
40.33556,-121.9139
37.23389,-119.2119
38.17677,-119.9065
41.41,-120.6781
38.93,-120.205
38.93333,-119.9833
38.86,-120.1358
37.35861,-118.9975
38.06615,-120.1877
36.10222,-118.8489
38.19753,-119.9811
41.45833,-122.4306
41.42806,-122.3839
38.04806,-119.2642
40.63556,-122.7325
38.03898,-120.2339
36.05278,-118.1303
38.26661,-119.8633
41.82417,-122.9958
41.3657,-123.1317
38.25583,-122.5833
39.21278,-120.8908
37.91111,-119.2569
33.2675,-116.8625
41.21361,-122.2703
39.3225,-120.2653
40.92911,-121.6156
39.68833,-123.4817
38.85556,-120.0133
38.93333,-119.9833
40.26639,-123.8692
40.26639,-123.8692
36.2485,-121.495
40.8875,-122.3775
39.92778,-122.1781
39.26361,-121.0161
39.68833,-123.4817
39.22361,-123.7675
37.5703,-118.972
38.72139,-120.5836
39.205,-121.58
40.465,-124.0
37.23389,-119.2119
36.0438,-118.7402
39.31917,-120.3275
38.0312,-120.2434
37.0,-121.7
40.75,-122.1667
40.85,-123.55
38.90333,-120.6033
36.7818,-120.201
40.7974,-122.278
36.3779,-121.7146
41.75,-123.35
38.3068,-119.5483
39.25396,-121.0517
41.65,-123.85
40.7485,-123.2718
41.75,-123.35
37.39555,-121.4871
39.50435,-120.3784
40.6789,-122.8055
38.86165,-120.2201
37.58325,-118.9166
41.21385,-124.0687
40.7333,-122.6667
38.4906,-121.7138
41.8333,-123.1668
34.6167,-118.4333
41.28996,-123.056
39.83929,-123.2393
37.9333,-119.0
39.51489,-123.3899
38.33115,-119.7853
34.625,-119.2916
33.95002,-116.5333
36.70835,-118.375
37.475,-121.07
38.83996,-123.0585
36.79165,-118.125
34.73389,-119.9254
41.98645,-123.1749
38.79998,-120.2083
39.705,-121.18
34.76666,-118.5834
41.65925,-123.4498
35.665,-120.55
38.25,-121.0
41.845,-122.575
38.51665,-119.6234
34.28665,-117.3395
36.77763,-118.9604
40.1,-124.2
41.72278,-120.3292
41.16,-123.9
38.14167,-119.7111
39.01917,-120.8275
38.30056,-120.7053
37.89917,-119.9997
35.75472,-118.4244
37.23667,-119.2386
41.8607,-123.793
38.23243,-119.984
38.29116,-119.7275
38.19753,-119.9811
38.31722,-119.7489
39.94278,-121.0158
41.48722,-120.5414
38.1625,-120.0522
38.1625,-120.0522
38.19833,-120.0083
39.02028,-120.8169
38.05141,-120.0508
40.4925,-121.8881
38.19753,-119.9811
41.30056,-124.0644
37.65028,-118.9592
38.27194,-120.2867
38.07584,-120.1039
38.05,-120.2667
37.78861,-119.0736
36.22306,-118.6744
39.30056,-120.6672
37.33694,-119.0139
38.90222,-121.0803
40.58667,-122.3906
38.9575,-120.0914
38.9575,-120.0914
41.37861,-123.7481
38.45861,-120.0397
40.53806,-121.7314
38.18389,-120.1547
38.24805,-119.9924
39.26167,-121.015
39.44583,-123.8042
36.10556,-118.5272
39.64306,-121.2733
37.07944,-118.9689
37.69639,-119.4275
38.46472,-120.0389
40.94083,-123.6283
35.56805,-118.6078
33.7655,-116.7078
41.75611,-124.2006
35.51222,-118.3356
37.23167,-119.235
38.20444,-120.3689
38.32417,-119.7519
41.31917,-123.1778
38.77778,-119.8208
38.99778,-120.2392
38.31944,-120.2603
40.0625,-123.2208
35.44986,-118.5821
38.76139,-120.5856
36.4525,-118.6092
40.20556,-123.4908
38.51639,-123.24
37.81269,-119.8609
40.98333,-122.6986
39.08,-121.42
38.03305,-120.2636
39.11167,-120.4683
38.77778,-119.8208
39.5575,-120.8294
41.23528,-123.6581
38.2395,-119.8792
40.9913,-122.8719
39.21667,-120.8983
41.72944,-122.6361
40.755,-122.33
38.25472,-120.3536
41.28694,-124.0586
38.4775,-120.0047
38.415,-122.585
38.71806,-120.5619
39.83,-123.115
40.88,-121.675
37.2725,-118.9656
39.53722,-121.4822
38.39917,-120.5264
39.55249,-121.5027
38.75,-122.7
38.45799,-120.0491
39.25,-123.15
37.83074,-119.4626
36.05361,-118.5347
40.85,-123.7
38.96,-120.0969
38.91185,-120.5764
37.2804,-118.9614
36.1894,-118.1729
38.9037,-120.6049
38.6167,-119.9501
35.2673,-118.9591
34.60665,-120.0023
37.4583,-120.0833
41.25,-123.6667
40.4999,-121.9167
38.29165,-119.54
41.8111,-123.375
40.75,-122.1675
34.25,-118.225
34.2802,-117.8333
40.43298,-120.7413
39.374,-120.914
38.23475,-120.1862
39.0833,-120.1666
40.8833,-122.2333
40.3,-124.2
39.06583,-123.4439
38.3958,-119.801
39.41546,-120.4187
37.055,-121.845
38.015,-120.245
37.1303,-118.9386
37.28675,-118.8741
38.20835,-120.0416
36.1999,-118.1666
37.5999,-119.0
37.90613,-119.2481
38.80435,-120.0825
37.15889,-118.3743
38.95285,-121.0479
41.23598,-123.292
35.7,-117.9667
36.07081,-118.2084
37.76666,-118.5333
38.17625,-119.864
40.35259,-124.0101
38.09832,-120.0397
33.66675,-116.7
38.375,-120.125
34.04165,-117.0416
38.04165,-119.2167
35.5803,-118.3804
35.95835,-118.375
41.84998,-124.1417
35.17748,-118.625
38.03917,-120.0459
33.81678,-116.6329
40.8333,-122.6417
34.2556,-116.7944
41.1139,-122.7
34.66363,-118.4538
35.12931,-118.3302
37.79337,-119.118
40.5835,-122.553
38.77386,-120.4036
32.71528,-117.1564
